date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:59	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jan%202019%2013:09:01%20GMT	http://gramotech.com/robots.txt		(from )
16:08:59	63355/63355	---M-Z	200	added ('OK')	text/html	etag:%22f77b-57ca52aebbb09-gzip%22	http://gramotech.com/html/ecova/	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/index.html	(from )
16:09:00	16450/16450	---M--	200	added ('OK')	image/png	etag:%224042-57bb8a4ec214b%22	http://gramotech.com/html/ecova/images/favicon.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/favicon.png	(from http://gramotech.com/html/ecova/)
16:09:00	136734/136734	---M-Z	200	added ('OK')	text/css	etag:%222161e-57ca53487b631-gzip%22	http://gramotech.com/html/ecova/css/custom.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/custom.css	(from http://gramotech.com/html/ecova/)
16:09:01	4927/4927	---M-Z	200	added ('OK')	text/css	etag:%22133f-57ca5346cf67a-gzip%22	http://gramotech.com/html/ecova/css/color.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/color.css	(from http://gramotech.com/html/ecova/)
16:09:01	21900/21900	---M-Z	200	added ('OK')	text/css	etag:%22558c-57ca534ac16c4-gzip%22	http://gramotech.com/html/ecova/css/responsive.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/responsive.css	(from http://gramotech.com/html/ecova/)
16:09:02	4313/4313	---M-Z	200	added ('OK')	text/css	etag:%2210d9-57ca5348c59b3-gzip%22	http://gramotech.com/html/ecova/css/owl.carousel.min.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/owl.carousel.min.css	(from http://gramotech.com/html/ecova/)
16:09:02	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-57ca53460773b-gzip%22	http://gramotech.com/html/ecova/css/bootstrap.min.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/bootstrap.min.css	(from http://gramotech.com/html/ecova/)
16:09:02	19888/19888	---M-Z	200	added ('OK')	text/css	etag:%224db0-57ca5349dd64d-gzip%22	http://gramotech.com/html/ecova/css/prettyPhoto.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/prettyPhoto.css	(from http://gramotech.com/html/ecova/)
16:09:03	58316/58316	---M-Z	200	added ('OK')	text/css	etag:%22e3cc-57ca53450db1b-gzip%22	http://gramotech.com/html/ecova/css/all.min.css	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/css/all.min.css	(from http://gramotech.com/html/ecova/)
16:09:03	63355/63355	---M-Z	200	added ('OK')	text/html	etag:%22f77b-57ca52aebbb09-gzip%22	http://gramotech.com/html/ecova/index.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/index-2.html	(from http://gramotech.com/html/ecova/)
16:09:04	5297/5297	---M--	200	added ('OK')	image/png	etag:%2214b1-57bb8a5ac126b%22	http://gramotech.com/html/ecova/images/h2logo.png	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/images/h2logo.png	(from http://gramotech.com/html/ecova/)
16:09:04	41044/41044	---M-Z	200	added ('OK')	text/html	etag:%22a054-57ca52c6192f1-gzip%22	http://gramotech.com/html/ecova/home-two.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/home-two.html	(from http://gramotech.com/html/ecova/)
16:09:04	45561/45561	---M-Z	200	added ('OK')	text/html	etag:%22b1f9-57ca52b1088fd-gzip%22	http://gramotech.com/html/ecova/home-three.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/home-three.html	(from http://gramotech.com/html/ecova/)
16:09:05	43109/43109	---M-Z	200	added ('OK')	text/html	etag:%22a865-57ca52c6192f1-gzip%22	http://gramotech.com/html/ecova/about.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/about.html	(from http://gramotech.com/html/ecova/)
16:09:06	26038/26038	---M-Z	200	added ('OK')	text/html	etag:%2265b6-57ca52bc3c815-gzip%22	http://gramotech.com/html/ecova/events-grid.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/events-grid.html	(from http://gramotech.com/html/ecova/)
16:09:06	22895/22895	---M-Z	200	added ('OK')	text/html	etag:%22596f-57ca52be86729-gzip%22	http://gramotech.com/html/ecova/events-grid-2.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/events-grid-2.html	(from http://gramotech.com/html/ecova/)
16:09:07	26067/26067	---M-Z	200	added ('OK')	text/html	etag:%2265d3-57ca52bc6bde7-gzip%22	http://gramotech.com/html/ecova/events-grid-3.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/events-grid-3.html	(from http://gramotech.com/html/ecova/)
16:09:07	26694/26694	---M-Z	200	added ('OK')	text/html	etag:%226846-57ca52bb243ab-gzip%22	http://gramotech.com/html/ecova/events-list.html	C:/My%20Web%20Sites/NRIT/gramotech.com/html/ecova/events-list.html	(from http://gramotech.com/html/ecova/)
